case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_002,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_003,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_004,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_005,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_006,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_007,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_008,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_009,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_010,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
